unix_s,utilisation_pct,power_w,sm_clock_mhz,memory_used_mib
1788184524,0,184.44,1890,22607
1788184525,0,148.34,1740,22607
1788184526,0,128.45,1740,22607
1788184527,0,176.55,1740,22607
1788184528,0,143.60,1740,22607
1788184529,0,127.65,1740,22607
1788184530,0,127.76,1845,22607
1788184531,93,348.78,1830,22607
1788184532,93,348.13,1845,22607
1788184533,93,348.14,1830,22607
1788184534,93,348.11,1830,22607
1788184535,0,269.45,1890,22607
1788184536,0,179.70,1890,22607
1788184537,0,148.21,1740,22607
1788184538,40,134.21,1740,22607
1788184540,0,191.89,1755,22607
1788184541,0,144.13,1755,22607
1788184542,0,128.86,1740,22607
1788184543,0,127.60,1845,22607
1788184544,93,273.32,1830,22607
1788184545,93,348.27,1830,22607
1788184546,93,348.45,1830,22607
1788184547,93,348.39,1830,22607
1788184548,0,251.59,1890,22607
1788184549,0,179.74,1890,22607
1788184550,0,148.72,1740,22607
1788184551,41,134.51,1740,22607
1788184552,0,189.96,1740,22607
1788184553,0,141.37,1740,22607
1788184554,0,127.77,1740,22607
1788184555,0,127.91,1740,22607
1788184556,93,191.58,1845,22607
1788184557,93,348.16,1830,22607
1788184558,93,348.38,1830,22607
1788184559,93,348.31,1830,22607
1788184560,93,348.04,1890,22607
1788184561,0,182.48,1890,22607
1788184562,0,148.17,1740,22607
1788184563,0,138.09,1740,22607
1788184564,40,163.37,1770,22607
1788184565,0,168.04,1770,22607
1788184566,0,143.34,1770,22607
1788184567,0,128.69,1740,22607
1788184568,93,155.18,1845,22607
1788184570,93,343.58,1830,22607
1788184571,93,347.80,1830,22607
1788184572,93,347.87,1830,22607
1788184573,93,348.70,1830,22607
1788184574,0,284.93,1890,22607
1788184575,0,178.21,1890,22607
1788184576,0,146.33,1740,22607
1788184577,40,152.86,1770,22607
1788184578,0,160.62,1770,22607
1788184579,0,144.28,1770,22607
1788184580,0,129.10,1740,22607
1788184581,93,172.53,1845,22607
1788184582,93,348.16,1845,22607
1788184583,93,348.55,1830,22607
1788184584,94,348.14,1830,22607
1788184585,93,348.25,1830,22607
1788184586,0,263.01,1890,22607
1788184587,0,173.24,1890,22607
1788184588,0,146.85,1740,22607
1788184589,40,135.82,1755,22607
1788184590,0,190.05,1755,22607
1788184591,0,140.96,1755,22607
1788184592,0,128.45,1740,22607
1788184593,92,181.75,1845,22607
1788184594,92,348.18,1830,22607
1788184595,93,348.31,1830,22607
1788184596,93,348.24,1830,22607
1788184597,93,348.49,1830,22607
1788184598,0,245.20,1890,22607
1788184600,0,173.62,1890,22607
1788184601,0,146.73,1740,22607
1788184602,0,137.35,1740,22607
1788184603,40,163.32,1740,22607
1788184604,0,147.86,1740,22607
1788184605,0,139.47,1740,22607
1788184606,0,127.87,1740,22607
1788184607,93,335.10,1830,22607
1788184608,93,347.87,1830,22607
1788184609,93,348.26,1830,22607
1788184610,93,348.45,1845,22607
1788184611,14,316.37,1890,22607
1788184612,0,173.33,1890,22607
1788184613,0,146.89,1740,22607
1788184614,0,137.64,1740,22607
1788184615,41,185.37,1755,22607
1788184616,0,145.48,1755,22607
1788184617,0,128.84,1740,22607
1788184618,0,128.53,1740,22607
1788184619,0,127.96,1845,22607
1788184620,93,304.20,1830,22607
1788184621,93,348.13,1830,22607
1788184622,93,348.09,1830,22607
1788184623,92,348.30,1830,22607
1788184624,0,259.88,1890,22607
1788184625,0,170.04,1890,22607
1788184626,0,146.22,1740,22607
1788184627,40,135.12,1770,22607
1788184628,0,192.55,1770,22607
1788184629,0,143.58,1770,22607
1788184631,0,128.69,1740,22607
1788184632,0,127.58,1740,22607
1788184633,93,324.74,1830,22607
1788184634,92,348.51,1830,22607
1788184635,93,348.84,1845,22607
1788184636,93,348.39,1830,22607
