run,ecosystem,model,dataset,repetition,n_samples,util_mean_pct,mem_mean_mib,power_mean_w,power_min_w,power_max_w
Python-JAX_resnet18_cifar100_rep3,Python/JAX,resnet18,cifar100,3,364,12.4,18528.0,139.5,37.4,172.0
Python-JAX_resnet18_cifar100_rep4,Python/JAX,resnet18,cifar100,4,438,10.1,18495.0,135.9,27.6,171.9
Python-JAX_resnet18_fashionmnist_rep2,Python/JAX,resnet18,fashionmnist,2,443,12.0,18537.0,138.3,27.7,189.1
Python-JAX_resnet18_fashionmnist_rep3,Python/JAX,resnet18,fashionmnist,3,368,14.2,18479.0,141.2,31.9,189.2
Python-JAX_resnet18_fashionmnist_rep4,Python/JAX,resnet18,fashionmnist,4,442,11.9,18537.0,138.4,35.8,193.7
Python-JAX_resnet18_tinyimagenet_rep1,Python/JAX,resnet18,tinyimagenet,1,471,18.1,18543.0,148.4,28.0,173.7
Python-JAX_resnet18_tinyimagenet_rep2,Python/JAX,resnet18,tinyimagenet,2,555,15.5,18580.0,143.5,41.6,171.0
Python-JAX_resnet18_tinyimagenet_rep3,Python/JAX,resnet18,tinyimagenet,3,471,17.6,18580.0,147.6,52.0,172.9
Python-JAX_resnet18_tinyimagenet_rep4,Python/JAX,resnet18,tinyimagenet,4,468,17.9,18543.0,147.1,33.1,172.9
Python-JAX_vgg16_cifar100_rep0,Python/JAX,vgg16,cifar100,0,464,33.8,18537.0,205.2,32.5,349.4
Python-JAX_vgg16_cifar100_rep1,Python/JAX,vgg16,cifar100,1,390,38.8,18576.0,218.0,52.1,349.3
Python-JAX_vgg16_cifar100_rep2,Python/JAX,vgg16,cifar100,2,464,33.2,18537.0,203.7,27.5,349.5
Python-JAX_vgg16_cifar100_rep3,Python/JAX,vgg16,cifar100,3,391,38.5,18529.0,220.1,28.1,349.3
Python-JAX_vgg16_cifar100_rep4,Python/JAX,vgg16,cifar100,4,390,38.7,18576.0,219.5,60.4,349.3
Python-JAX_vgg16_fashionmnist_rep0,Python/JAX,vgg16,fashionmnist,0,487,36.2,18576.0,215.4,61.3,349.4
Python-JAX_vgg16_fashionmnist_rep1,Python/JAX,vgg16,fashionmnist,1,415,45.8,18576.0,232.1,59.3,349.6
Python-JAX_vgg16_fashionmnist_rep2,Python/JAX,vgg16,fashionmnist,2,489,36.1,18576.0,214.3,50.8,349.4
Python-JAX_vgg16_fashionmnist_rep3,Python/JAX,vgg16,fashionmnist,3,416,42.7,18532.0,232.6,27.7,349.4
Python-JAX_vgg16_fashionmnist_rep4,Python/JAX,vgg16,fashionmnist,4,417,43.4,18532.0,230.9,27.6,349.4
Python-JAX_vgg16_tinyimagenet_rep0,Python/JAX,vgg16,tinyimagenet,0,555,51.6,18576.0,246.1,42.8,349.6
Python-JAX_vgg16_tinyimagenet_rep1,Python/JAX,vgg16,tinyimagenet,1,557,52.6,18543.0,246.9,28.0,349.4
Python-JAX_vgg16_tinyimagenet_rep2,Python/JAX,vgg16,tinyimagenet,2,557,52.5,18576.0,248.3,38.8,349.3
Python-JAX_vgg16_tinyimagenet_rep3,Python/JAX,vgg16,tinyimagenet,3,520,55.6,18576.0,256.9,63.0,349.4
Python-JAX_vgg16_tinyimagenet_rep4,Python/JAX,vgg16,tinyimagenet,4,557,52.5,18576.0,248.3,49.5,349.6
Python-PyTorch_resnet18_cifar100_rep2,Python/PyTorch,resnet18,cifar100,2,428,17.9,793.0,155.9,28.0,230.4
Python-PyTorch_resnet18_cifar100_rep3,Python/PyTorch,resnet18,cifar100,3,351,21.2,793.0,163.3,30.6,230.8
Python-PyTorch_resnet18_cifar100_rep4,Python/PyTorch,resnet18,cifar100,4,427,16.8,793.0,155.5,27.6,230.7
Python-PyTorch_resnet18_fashionmnist_rep2,Python/PyTorch,resnet18,fashionmnist,2,441,20.3,792.0,160.3,27.8,234.7
Python-PyTorch_resnet18_fashionmnist_rep3,Python/PyTorch,resnet18,fashionmnist,3,368,24.3,790.0,168.3,27.7,235.5
Python-PyTorch_resnet18_fashionmnist_rep4,Python/PyTorch,resnet18,fashionmnist,4,442,20.1,792.0,160.1,28.4,235.0
Python-PyTorch_resnet18_tinyimagenet_rep1,Python/PyTorch,resnet18,tinyimagenet,1,467,30.6,793.0,179.9,27.2,230.1
Python-PyTorch_resnet18_tinyimagenet_rep2,Python/PyTorch,resnet18,tinyimagenet,2,520,27.1,794.0,175.3,28.1,232.3
Python-PyTorch_resnet18_tinyimagenet_rep3,Python/PyTorch,resnet18,tinyimagenet,3,464,30.7,794.0,181.5,28.2,232.4
Python-PyTorch_resnet18_tinyimagenet_rep4,Python/PyTorch,resnet18,tinyimagenet,4,544,26.2,794.0,172.1,27.0,231.9
Python-PyTorch_vgg16_cifar100_rep1,Python/PyTorch,vgg16,cifar100,1,409,43.7,1090.0,228.8,28.9,347.4
Python-PyTorch_vgg16_cifar100_rep2,Python/PyTorch,vgg16,cifar100,2,484,37.1,1091.0,217.7,28.2,348.6
Python-PyTorch_vgg16_cifar100_rep3,Python/PyTorch,vgg16,cifar100,3,410,42.8,1089.0,231.4,27.8,349.1
Python-PyTorch_vgg16_cifar100_rep4,Python/PyTorch,vgg16,cifar100,4,482,37.5,1092.0,217.6,29.8,348.9
Python-PyTorch_vgg16_fashionmnist_rep1,Python/PyTorch,vgg16,fashionmnist,1,444,46.8,1090.0,242.0,27.5,349.1
Python-PyTorch_vgg16_fashionmnist_rep2,Python/PyTorch,vgg16,fashionmnist,2,517,40.3,1091.0,227.2,27.8,349.2
Python-PyTorch_vgg16_fashionmnist_rep3,Python/PyTorch,vgg16,fashionmnist,3,435,48.3,1091.0,247.2,32.1,348.8
Python-PyTorch_vgg16_fashionmnist_rep4,Python/PyTorch,vgg16,fashionmnist,4,518,40.0,1091.0,226.3,27.4,348.9
Python-PyTorch_vgg16_tinyimagenet_rep1,Python/PyTorch,vgg16,tinyimagenet,1,493,68.4,1095.0,293.2,27.7,349.0
Python-PyTorch_vgg16_tinyimagenet_rep2,Python/PyTorch,vgg16,tinyimagenet,2,530,64.9,1096.0,282.3,29.3,349.4
Python-PyTorch_vgg16_tinyimagenet_rep3,Python/PyTorch,vgg16,tinyimagenet,3,491,69.5,1096.0,294.5,30.1,349.4
Python-PyTorch_vgg16_tinyimagenet_rep4,Python/PyTorch,vgg16,tinyimagenet,4,529,64.4,1096.0,282.8,32.2,349.4
Python-TensorFlow_resnet18_cifar100_rep1,Python/TensorFlow,resnet18,cifar100,1,341,18.1,22543.0,170.5,28.4,249.4
Python-TensorFlow_resnet18_cifar100_rep2,Python/TensorFlow,resnet18,cifar100,2,419,15.1,22503.0,161.1,27.7,249.8
Python-TensorFlow_resnet18_cifar100_rep3,Python/TensorFlow,resnet18,cifar100,3,344,18.3,22544.0,171.3,28.1,251.2
Python-TensorFlow_resnet18_cifar100_rep4,Python/TensorFlow,resnet18,cifar100,4,417,14.9,22555.0,160.9,27.3,251.0
Python-TensorFlow_resnet18_fashionmnist_rep1,Python/TensorFlow,resnet18,fashionmnist,1,360,20.7,22547.0,176.4,31.8,257.0
Python-TensorFlow_resnet18_fashionmnist_rep2,Python/TensorFlow,resnet18,fashionmnist,2,430,17.4,22557.0,166.8,27.3,255.7
Python-TensorFlow_resnet18_fashionmnist_rep3,Python/TensorFlow,resnet18,fashionmnist,3,355,21.1,22546.0,177.1,28.4,257.8
Python-TensorFlow_resnet18_fashionmnist_rep4,Python/TensorFlow,resnet18,fashionmnist,4,429,18.2,22557.0,167.7,32.9,256.6
Python-TensorFlow_resnet18_tinyimagenet_rep2,Python/TensorFlow,resnet18,tinyimagenet,2,533,24.0,22567.0,180.4,28.8,250.1
Python-TensorFlow_resnet18_tinyimagenet_rep3,Python/TensorFlow,resnet18,tinyimagenet,3,454,28.5,22561.0,191.6,29.8,251.8
Python-TensorFlow_resnet18_tinyimagenet_rep4,Python/TensorFlow,resnet18,tinyimagenet,4,452,27.7,22511.0,194.0,27.6,255.5
Python-TensorFlow_vgg16_cifar100_rep1,Python/TensorFlow,vgg16,cifar100,1,374,38.5,22547.0,221.2,30.2,348.9
Python-TensorFlow_vgg16_cifar100_rep2,Python/TensorFlow,vgg16,cifar100,2,444,32.3,22556.0,203.2,26.8,348.9
Python-TensorFlow_vgg16_cifar100_rep3,Python/TensorFlow,vgg16,cifar100,3,370,36.3,22546.0,222.2,27.7,348.9
Python-TensorFlow_vgg16_cifar100_rep4,Python/TensorFlow,vgg16,cifar100,4,442,32.0,22607.0,204.7,32.0,348.9
Python-TensorFlow_vgg16_fashionmnist_rep1,Python/TensorFlow,vgg16,fashionmnist,1,407,40.7,22497.0,231.5,27.7,348.9
Python-TensorFlow_vgg16_fashionmnist_rep2,Python/TensorFlow,vgg16,fashionmnist,2,469,34.9,22559.0,217.6,28.6,349.1
Python-TensorFlow_vgg16_fashionmnist_rep3,Python/TensorFlow,vgg16,fashionmnist,3,393,42.6,22550.0,234.4,29.9,349.0
Python-TensorFlow_vgg16_fashionmnist_rep4,Python/TensorFlow,vgg16,fashionmnist,4,470,35.3,22559.0,215.6,27.9,348.8
Python-TensorFlow_vgg16_tinyimagenet_rep1,Python/TensorFlow,vgg16,tinyimagenet,1,512,55.0,22563.0,265.6,38.4,349.0
Python-TensorFlow_vgg16_tinyimagenet_rep2,Python/TensorFlow,vgg16,tinyimagenet,2,546,51.5,22525.0,255.8,27.5,349.2
Python-TensorFlow_vgg16_tinyimagenet_rep3,Python/TensorFlow,vgg16,tinyimagenet,3,511,55.4,22519.0,265.6,27.9,348.9
Python-TensorFlow_vgg16_tinyimagenet_rep4,Python/TensorFlow,vgg16,tinyimagenet,4,546,52.6,22566.0,257.3,30.4,348.9
R-torch_resnet18_cifar100_rep2,R/torch,resnet18,cifar100,2,1816,4.5,1272.0,126.5,27.3,130.0
R-torch_resnet18_cifar100_rep3,R/torch,resnet18,cifar100,3,1816,4.5,1272.0,127.4,30.4,165.4
R-torch_resnet18_cifar100_rep4,R/torch,resnet18,cifar100,4,1817,4.5,1271.0,126.3,28.0,129.6
R-torch_resnet18_fashionmnist_rep1,R/torch,resnet18,fashionmnist,1,2112,4.6,1284.0,125.8,28.2,128.9
R-torch_resnet18_fashionmnist_rep2,R/torch,resnet18,fashionmnist,2,2112,4.6,1284.0,126.5,27.6,130.1
R-torch_resnet18_fashionmnist_rep3,R/torch,resnet18,fashionmnist,3,2114,4.6,1282.0,127.3,27.8,130.6
R-torch_resnet18_fashionmnist_rep4,R/torch,resnet18,fashionmnist,4,2112,4.6,1283.0,127.1,28.1,130.3
R-torch_resnet18_tinyimagenet_rep2,R/torch,resnet18,tinyimagenet,2,3175,5.0,1304.0,127.4,27.0,130.1
R-torch_resnet18_tinyimagenet_rep3,R/torch,resnet18,tinyimagenet,3,3175,5.0,1297.0,127.9,27.6,167.2
R-torch_resnet18_tinyimagenet_rep4,R/torch,resnet18,tinyimagenet,4,3174,5.0,1305.0,127.7,28.1,131.2
R-torch_vgg16_cifar100_rep2,R/torch,vgg16,cifar100,2,1601,12.3,2999.0,138.4,29.2,149.4
R-torch_vgg16_cifar100_rep3,R/torch,vgg16,cifar100,3,1595,12.2,3000.0,139.6,29.4,183.5
R-torch_vgg16_cifar100_rep4,R/torch,vgg16,cifar100,4,1597,12.1,3001.0,139.5,30.2,151.2
R-torch_vgg16_fashionmnist_rep2,R/torch,vgg16,fashionmnist,2,1849,12.6,2952.0,139.8,38.1,150.3
R-torch_vgg16_fashionmnist_rep3,R/torch,vgg16,fashionmnist,3,1846,13.2,2952.0,139.6,27.7,162.9
R-torch_vgg16_fashionmnist_rep4,R/torch,vgg16,fashionmnist,4,1847,12.2,2950.0,139.4,29.2,149.8
R-torch_vgg16_tinyimagenet_rep2,R/torch,vgg16,tinyimagenet,2,2881,12.9,2856.0,140.2,26.9,148.4
R-torch_vgg16_tinyimagenet_rep3,R/torch,vgg16,tinyimagenet,3,2888,13.4,2855.0,140.1,27.6,148.9
R-torch_vgg16_tinyimagenet_rep4,R/torch,vgg16,tinyimagenet,4,2891,13.1,2854.0,140.6,27.3,149.2
Rust-tch_resnet18_cifar100_rep2,Rust/tch,resnet18,cifar100,2,421,19.9,800.0,156.8,27.6,220.4
Rust-tch_resnet18_cifar100_rep3,Rust/tch,resnet18,cifar100,3,347,23.8,798.0,163.9,27.2,221.0
Rust-tch_resnet18_cifar100_rep4,Rust/tch,resnet18,cifar100,4,421,20.0,799.0,157.2,27.3,220.8
Rust-tch_resnet18_fashionmnist_rep1,Rust/tch,resnet18,fashionmnist,1,337,29.5,798.0,176.8,32.1,239.2
Rust-tch_resnet18_fashionmnist_rep2,Rust/tch,resnet18,fashionmnist,2,414,23.6,797.0,165.8,27.1,236.7
Rust-tch_resnet18_fashionmnist_rep3,Rust/tch,resnet18,fashionmnist,3,338,29.2,797.0,175.9,28.1,238.8
Rust-tch_resnet18_fashionmnist_rep4,Rust/tch,resnet18,fashionmnist,4,413,23.7,797.0,168.7,28.1,240.8
Rust-tch_resnet18_tinyimagenet_rep1,Rust/tch,resnet18,tinyimagenet,1,468,35.0,800.0,186.4,28.5,206.1
Rust-tch_resnet18_tinyimagenet_rep2,Rust/tch,resnet18,tinyimagenet,2,505,32.4,800.0,181.9,28.6,207.5
Rust-tch_resnet18_tinyimagenet_rep3,Rust/tch,resnet18,tinyimagenet,3,466,35.0,799.0,188.2,27.8,208.9
Rust-tch_resnet18_tinyimagenet_rep4,Rust/tch,resnet18,tinyimagenet,4,507,32.7,800.0,181.6,27.9,205.9
Rust-tch_vgg16_cifar100_rep1,Rust/tch,vgg16,cifar100,1,434,41.6,1098.0,229.1,27.8,311.1
Rust-tch_vgg16_cifar100_rep2,Rust/tch,vgg16,cifar100,2,516,34.2,1099.0,212.2,28.5,308.7
Rust-tch_vgg16_cifar100_rep3,Rust/tch,vgg16,cifar100,3,434,41.2,1098.0,230.9,27.8,311.6
Rust-tch_vgg16_cifar100_rep4,Rust/tch,vgg16,cifar100,4,515,33.8,1101.0,211.9,26.7,309.6
Rust-tch_vgg16_fashionmnist_rep2,Rust/tch,vgg16,fashionmnist,2,526,40.7,1098.0,227.6,27.7,330.6
Rust-tch_vgg16_fashionmnist_rep3,Rust/tch,vgg16,fashionmnist,3,444,48.4,1095.0,245.3,27.7,332.8
Rust-tch_vgg16_fashionmnist_rep4,Rust/tch,vgg16,fashionmnist,4,527,40.6,1097.0,227.4,27.6,333.0
Rust-tch_vgg16_tinyimagenet_rep1,Rust/tch,vgg16,tinyimagenet,1,650,54.0,1103.0,256.9,30.1,288.3
Rust-tch_vgg16_tinyimagenet_rep2,Rust/tch,vgg16,tinyimagenet,2,689,50.8,1104.0,252.2,29.4,290.6
Rust-tch_vgg16_tinyimagenet_rep3,Rust/tch,vgg16,tinyimagenet,3,652,54.0,1102.0,262.3,32.7,291.9
Rust-tch_vgg16_tinyimagenet_rep4,Rust/tch,vgg16,tinyimagenet,4,685,51.5,1104.0,253.5,31.2,291.2
