ecosystem,model,dataset,repetition,phase,energy_j,duration_s,gpu_j,cpu_j,power_w
Java/DL4J,resnet18,fashionmnist,0,Inference,16288.844117,62.056931,13088.907,3199.937117,262.4822699820589
Java/DL4J,resnet18,fashionmnist,0,Training,299225.181027,1205.827851,238239.843,60985.338027,248.14917052948383
Java/DL4J,resnet18,fashionmnist,1,Inference,16248.304851,61.999726,13048.336,3199.968851,262.07059126358075
Java/DL4J,resnet18,fashionmnist,1,Training,300670.453867,1215.292173,239143.975,61526.478867,247.4059000353654
Java/DL4J,resnet18,fashionmnist,2,Inference,16226.742096,62.400083,13101.487000000001,3125.255096,260.04359795482964
Java/DL4J,resnet18,fashionmnist,2,Training,296584.111944,1215.247195,236945.404,59638.707944,244.05249661489654
Java/DL4J,resnet18,fashionmnist,3,Inference,16304.506028,62.449726,13090.292,3214.214028,261.08210671732974
Java/DL4J,resnet18,fashionmnist,3,Training,299324.578604,1212.6265760000001,238224.539,61100.039604,246.83986358880523
Java/DL4J,resnet18,fashionmnist,4,Inference,16249.421435,61.818567,13058.449,3190.972435,262.85665009025524
Java/DL4J,resnet18,fashionmnist,4,Training,298980.799076,1205.4346639999999,238061.148,60919.651076,248.02737801142246
Java/DL4J,resnet18,tinyimagenet,0,Inference,17119.188621,64.700315,13625.215,3493.973621,264.59204442822266
Java/DL4J,resnet18,tinyimagenet,0,Training,508091.505495,2031.352831,403583.515,104507.990495,250.1246941157314
Java/DL4J,resnet18,tinyimagenet,1,Inference,17451.380539,66.644397,13858.138,3593.242539,261.85818050090546
Java/DL4J,resnet18,tinyimagenet,1,Training,505824.776171,2021.887482,401674.648,104150.128171,250.17454268555582
Java/DL4J,resnet18,tinyimagenet,2,Inference,16901.017247,64.705007,13437.585,3463.432247,261.2010728474228
Java/DL4J,resnet18,tinyimagenet,2,Training,501291.42617,2019.726647,398094.357,103197.06917,248.1976592795827
Java/DL4J,resnet18,tinyimagenet,3,Inference,17140.192318,65.425745,13605.697,3534.495318,261.9793220237691
Java/DL4J,resnet18,tinyimagenet,3,Training,502509.117937,2017.108596,398585.306,103923.811937,249.1234824607331
Java/DL4J,resnet18,tinyimagenet,4,Inference,17079.267494,64.70963,13578.187,3501.080494,263.93702906352576
Java/DL4J,resnet18,tinyimagenet,4,Training,505507.760391,2021.287353,401228.397,104279.363391,250.0919820433864
Java/DL4J,vgg16,cifar100,0,Inference,32658.426127,84.270504,28119.68,4538.746127,387.542788720001
Java/DL4J,vgg16,cifar100,0,Training,477675.60451,1227.588183,413195.228,64480.37651,389.11714133859493
Java/DL4J,vgg16,cifar100,1,Inference,32427.94975,84.84014,27793.739,4634.21075,382.224142369402
Java/DL4J,vgg16,cifar100,1,Training,476786.770884,1234.249366,410988.805,65797.965884,386.29695426070003
Java/DL4J,vgg16,cifar100,2,Inference,32972.908739,84.048757,28464.637,4508.271739,392.30691703150353
Java/DL4J,vgg16,cifar100,2,Training,478297.279528,1224.519049,414429.437,63867.842528,390.60011350464504
Java/DL4J,vgg16,cifar100,3,Inference,32901.939288,83.784775,28429.372,4472.567288,392.6959198493999
Java/DL4J,vgg16,cifar100,3,Training,476003.990261,1221.167692,412348.908,63655.082261,389.7941235911767
Java/DL4J,vgg16,cifar100,4,Inference,32654.354252,84.326438,28094.553,4559.801252,387.23744327965096
Java/DL4J,vgg16,cifar100,4,Training,476834.435377,1224.075265,412226.825,64607.610377,389.5466635190934
Java/DL4J,vgg16,fashionmnist,0,Inference,32466.813501,83.966235,27976.571,4490.242501,386.66511010050647
Java/DL4J,vgg16,fashionmnist,0,Training,572749.801212,1475.081191,495833.772,76916.029212,388.28357700345725
Java/DL4J,vgg16,fashionmnist,1,Inference,32494.445908,84.661391,27922.416,4572.029908,383.81658420896963
Java/DL4J,vgg16,fashionmnist,1,Training,573426.377344,1478.434573,495523.674,77902.703344,387.86050314043894
Java/DL4J,vgg16,fashionmnist,2,Inference,32560.958402,83.875886,28060.507,4500.451402,388.20404713221154
Java/DL4J,vgg16,fashionmnist,2,Training,572624.503012,1471.457576,495507.243,77117.260012,389.1546126451151
Java/DL4J,vgg16,fashionmnist,3,Inference,32844.01993,84.03422,28373.905,4470.11493,390.84101607654594
Java/DL4J,vgg16,fashionmnist,3,Training,574706.507548,1477.637822,498101.343,76605.164548,388.93597537326707
Java/DL4J,vgg16,fashionmnist,4,Inference,32677.047570000002,84.562997,28107.447,4569.60057,386.4225338418411
Java/DL4J,vgg16,fashionmnist,4,Training,573654.175799,1476.7011850000001,495807.545,77846.630799,388.4700450071081
Java/DL4J,vgg16,tinyimagenet,0,Inference,32657.226087,86.080138,27810.675,4846.551087,379.3816651060666
Java/DL4J,vgg16,tinyimagenet,0,Training,957632.307963,2491.597147,822277.751,135354.556963,384.3447601936912
Java/DL4J,vgg16,tinyimagenet,1,Inference,32871.182818,85.666832,28116.781,4754.401818,383.7095647239529
Java/DL4J,vgg16,tinyimagenet,1,Training,958304.376864,2470.888219,826160.401,132143.975864,387.83801286317924
Java/DL4J,vgg16,tinyimagenet,2,Inference,33115.580041,84.758288,28541.3,4574.280041,390.7060987475349
Java/DL4J,vgg16,tinyimagenet,2,Training,953690.678838,2446.9215,827294.509,126396.169838,389.7512359256315
Java/DL4J,vgg16,tinyimagenet,3,Inference,32842.224595,85.600628,28086.928,4755.296595,383.66803331162475
Java/DL4J,vgg16,tinyimagenet,3,Training,960770.664425,2466.921286,828604.624,132166.040425,389.46141892627867
Java/DL4J,vgg16,tinyimagenet,4,Inference,32848.693775,85.324629,28097.828,4750.865775,384.98490013944274
Java/DL4J,vgg16,tinyimagenet,4,Training,954063.984251,2463.629365,821741.991,132321.993251,387.259543909114
Python/JAX,resnet18,cifar100,0,Inference,1833.123965,9.838057,1258.737,574.386965,186.32987845059245
Python/JAX,resnet18,cifar100,0,Training,17492.645871,49.375111,14479.268,3013.377871,354.2806389032726
Python/JAX,resnet18,cifar100,1,Inference,1749.459012,9.912144,1170.12,579.339012,176.49652910611468
Python/JAX,resnet18,cifar100,1,Training,17495.568776,49.982841,14438.732,3056.836776,350.03149932994006
Python/JAX,resnet18,cifar100,2,Inference,1783.117421,9.722362,1223.168,559.949421,183.40372648128098
Python/JAX,resnet18,cifar100,2,Training,17381.148676,49.804001,14386.526,2994.622676,348.9910113044934
Python/JAX,resnet18,cifar100,3,Inference,1843.596481,9.846653,1272.128,571.468481,187.2307758788697
Python/JAX,resnet18,cifar100,3,Training,17507.925504,50.131298,14466.815,3041.1105039999998,349.24141609100167
Python/JAX,resnet18,cifar100,4,Inference,1816.330723,9.882069,1242.582,573.748723,183.8006517663457
Python/JAX,resnet18,cifar100,4,Training,17311.178987,49.403863,14310.029,3001.149987,350.401323617143
Python/JAX,resnet18,fashionmnist,0,Inference,1330.582854,7.309283,906.58,424.002854,182.0401336218614
Python/JAX,resnet18,fashionmnist,0,Training,19194.784124,52.602371,16164.827000000001,3029.957124,364.9034018637677
Python/JAX,resnet18,fashionmnist,1,Inference,1324.004847,7.457246,888.913,435.091847,177.5460869870727
Python/JAX,resnet18,fashionmnist,1,Training,19165.200178,52.410147,16122.378,3042.822178,365.6772834084972
Python/JAX,resnet18,fashionmnist,2,Inference,1337.133386,7.395669,897.466,439.667386,180.79951739322027
