modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,model,language
ResNet18,CIFAR100,train,11,2025-09-04T16:10:26,codecarbon,52db94b8-0baf-4a4d-9588-fca4a35b90f7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,70.95295455900487,0.0008803305649079,1.240724322728382e-05,42.5,89.08282431906898,0.0383219718933105,0.0008344015516066,0.001826772572528,7.026558046500808e-07,0.0026618767799393,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,11,2025-09-04T16:10:42,codecarbon,be08af2e-f84c-4f17-8891-5c1388d2bf36,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.136837953003123,0.000149329903419,1.2303855748692293e-05,42.5,203.02519332529616,0.0383276939392089,0.0001424957225024,0.0003089069137907,1.297974388841887e-07,0.000451532433732,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,12,2025-09-04T16:11:58,codecarbon,a0c03fe7-e854-4369-995d-7f748805e35f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,70.62941182102077,0.0008763923608107,1.2408320248108584e-05,42.5,90.4878401330055,0.0383319854736328,0.0008307917683566,0.0018184772881113,6.996806759523042e-07,0.0026499687371439,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,12,2025-09-04T16:12:14,codecarbon,6b028cc4-dcd6-4b5e-8bbe-506f1c6ba43a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.188355488004165,0.0001496020772765,1.2274180665619698e-05,42.5,515.5220237090813,0.0383319854736328,0.0001433129304344,0.0003089124693502,1.3001261064777668e-07,0.0004523554123953,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,13,2025-09-04T16:13:28,codecarbon,b7f186be-bbfb-4659-821f-fabffb57d41c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,69.21020293491893,0.0008591064614568,1.2413003069283085e-05,42.5,102.7239474889237,0.0383491516113281,0.0008141291358464,0.0017828864263051,6.853838411728791e-07,0.0025977009459928,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,13,2025-09-04T16:13:45,codecarbon,807ac2ef-1e9d-4572-b3c4-83e9ea0f719b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.358435934060251,0.0001509984706891,1.2218250876956024e-05,42.5,100.60347269527055,0.0383505821228027,0.0001452534379828,0.000311202193405,1.2208947735367857e-07,0.0004565777208653,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,14,2025-09-04T16:15:00,codecarbon,9a56b543-7ec7-47ba-9d7f-24a919c7944e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,70.55499072896782,0.0008746550473669,1.2396784952135227e-05,42.5,104.78819970885544,0.0383706092834472,0.0008293107254298,0.0018147053406494,6.995144664567096e-07,0.0026447155805456,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,14,2025-09-04T16:15:17,codecarbon,3e4fb3d4-00fc-423d-aff2-3ee8e7eb4150,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.04898676997982,0.0001472271341642,1.2219046877122968e-05,42.5,94.10830528458324,0.0383820533752441,0.0001417651458014,0.0003032894092989,1.1968447601634046e-07,0.0004451742395763,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,15,2025-09-04T16:16:32,codecarbon,e8bda103-57bb-4670-b3c2-b4bf44b8b38d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,70.74838304694276,0.0008762420986804,1.238533039121266e-05,42.5,88.51935686995203,0.0384020805358886,0.0008319938114125,0.0018168197867858,7.007877148553712e-07,0.0026495143859132,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,15,2025-09-04T16:16:49,codecarbon,1be10b42-bb91-4e41-b63b-d3c9af50a6ee,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.815354189951904,0.0001447609315217,1.2251933305978066e-05,42.5,88.47433597606765,0.0384192466735839,0.0001388756396156,0.0002987246834251,1.1680007248971817e-07,0.0004377171231133,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
